iter	Passed	Remaining
0	147	29405
1	153	15236
2	161	10604
3	168	8232
4	174	6801
5	177	5726
6	181	4997
7	185	4461
8	190	4044
9	194	3700
10	198	3406
11	202	3165
12	204	2944
13	207	2751
14	209	2578
15	210	2424
16	212	2288
17	214	2171
18	216	2065
19	218	1969
20	220	1882
21	222	1802
22	224	1727
23	226	1661
24	228	1601
25	230	1543
26	232	1489
27	234	1438
28	236	1391
29	237	1347
30	239	1308
31	241	1270
32	244	1234
33	245	1200
34	247	1167
35	249	1136
36	251	1108
37	253	1082
38	255	1055
39	257	1030
40	259	1006
41	261	983
42	263	961
43	265	941
44	267	921
45	269	901
46	271	882
47	273	864
48	274	846
49	276	830
50	279	815
51	281	800
52	283	785
53	284	770
54	286	756
55	288	743
56	291	730
57	293	717
58	295	705
59	297	693
60	298	681
61	300	669
62	302	658
63	305	648
64	306	637
65	308	626
66	310	616
67	312	606
68	314	596
69	316	588
70	318	579
71	320	570
72	322	561
73	324	552
74	325	543
75	327	534
76	330	527
77	331	519
78	333	511
79	335	503
80	337	495
81	339	488
82	341	481
83	343	474
84	345	467
85	347	460
86	349	453
87	350	446
88	352	440
89	355	434
90	357	427
91	359	421
92	361	415
93	362	409
94	364	403
95	367	397
96	369	392
97	371	386
98	372	380
99	374	374
100	376	369
101	378	363
102	380	358
103	382	353
104	384	348
105	386	342
106	388	337
107	390	332
108	392	327
109	394	322
110	397	318
111	399	313
112	401	308
113	403	304
114	405	299
115	407	294
116	409	290
117	411	285
118	412	281
119	414	276
120	416	272
121	418	267
122	420	263
123	422	259
124	424	254
125	426	250
126	428	246
127	430	242
128	432	238
129	434	233
130	436	229
131	437	225
132	439	221
133	441	217
134	443	213
135	445	209
136	447	205
137	449	201
138	451	198
139	453	194
140	454	190
141	457	186
142	459	182
143	460	179
144	462	175
145	464	171
146	466	168
147	468	164
148	470	160
149	472	157
150	474	153
151	475	150
152	477	146
153	479	143
154	481	139
155	483	136
156	485	133
157	488	129
158	490	126
159	492	123
160	494	119
161	496	116
162	498	113
163	501	110
164	503	106
165	505	103
166	507	100
167	509	97
168	511	93
169	514	90
170	516	87
171	518	84
172	520	81
173	522	78
174	524	74
175	526	71
176	528	68
177	531	65
178	533	62
179	535	59
180	537	56
181	539	53
182	542	50
183	543	47
184	545	44
185	548	41
186	550	38
187	551	35
188	553	32
189	555	29
190	557	26
191	560	23
192	562	20
193	564	17
194	566	14
195	567	11
196	569	8
197	571	5
198	574	2
199	576	0
